"","premature_age_adjusted_mortality","infant_mortality","child_mortality","frequent_physical_distress","frequent_mental_distress","diabetes_prevalence","HIV_prevalence","premature_death","poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","low_birthweight","food_insecurity","limited_access_to_healthy_foods","motor_vehicle_crash_deaths","drug_overdose_deaths","drug_overdose_deaths_modeled","insufficient_sleep","adult_smoking","adult_obesity","food_enviroment_index","physical_inactivity","access_to_exercise_opportunities","excessive_drinking","alcohol_impaired_driving_deaths","STD","teen_births","uninsured_adults","uninsured_children","health_care_costs","other_primary_care_providers","uninsured","Primary_Care_physicians","dentist","mental_health_providers","preventable_hospital_stays","diabetes_monitoring","mammography_screening","disconnected_youth","median_household_income","children_eligible_for_free_lunch","homicides","firearm_fatalities","black_white_residential_segregation","nonwhite_white_residential_segregation","high_school_graduation","some_college","unemployment","children_in_poverty","income_inequality","children_in_single_parent_households","social_associations","violent_crime","injury_deaths","air_pollution","drinking_water_violations","severe_housing_problems","driving_alone_to_work","long_commute_driving_alone","population","percent_age_below_18","percent_65_and_older","percent_non_hispanic_black","percent_american_indian","percent_asian","percent_pacific_islander","percent_hispanic","percent_non_hispanic_white","percent_english_nonproficent","percent_female","percent_rural","5-Digit FIPS Code","state_county"
"1",449.6,7.7185017026,56.186903014,0.1282443447,0.1263835707,0.124,225.5,9409.2947663,0.1841112436,4.2005779826,4.3067392835,0.0859463118,0.139,0.11991125,20.167754346,10.231225701,5,0.3590540606,0.191246585,0.364,7.1,0.309,0.7112019204,0.1687801512,0.2678571429,341.2,27.99675827,0.1219309197,0.0259531305,10674.34,0.0002887253,0.0938771186,0.0004516957,0.0003248159,0.0001263173,81.85,0.8396624473,0.6269315673,0.1457,54487,0.4847538766,3.6198533442,16.972533385,26.3470479,24.000912313,0.9,0.6194201886,0.0527116067,0.193,4.3883461572,0.2447140885,13.912226498,265.6997471,72.584664052,10.8,0,0.1521792662,0.8675006172,0.408,55416,0.2440811318,0.1472859824,0.1904865021,0.0048541937,0.0114046485,0.0010105385,0.0268875415,0.75,0.0083273898,0.5128843655,0.4200216232,"01001","Autauga County , AL"
"2",351.3,5.5454070981,47.688777428,0.1262200157,0.1282255819,0.111,163.9,7467.5966638,0.1806045782,4.0987477691,4.2496487805,0.0848029046,0.13,0.054244266,15.281184767,18.452504397,10,0.3330586814,0.1679548515,0.293,7.9,0.245,0.6851891477,0.1671496869,0.3037974684,338.8,31.965137793,0.1471986088,0.0327343851,9537.12,0.000436319,0.1152439661,0.0007265266,0.0004938556,0.0008918169,46.3,0.8321223709,0.659652333,0.1541,56460,0.4579548026,2.7052815138,14.71894328,43.96994085,30.674915164,0.85,0.6375709972,0.0541526281,0.176,4.6007352282,0.2581144092,11.045167371,216.77307832,71.492010217,9.6,0,0.1431015604,0.8464604333,0.401,208563,0.2173443995,0.1970819369,0.0904283118,0.0077099006,0.0107497495,0.0005945446,0.0441641135,0.832021979,0.0081880922,0.5145783289,0.4227909911,"01003","Baldwin County , AL"
"3",433.6,NA,66.595631327,0.1621615961,0.1463231059,0.182,436,8929.4749816,0.2577341563,5.0674383044,4.634994147,0.1174129353,0.234,0.1073966657,18.597829899,NA,4,0.3856316713,0.2154087757,0.442,5.5,0.306,0.5284262665,0.1269871542,0.3571428571,557.9,50.189205338,0.1740155086,0.0363415058,9790.62,0.0002695937,0.1331045208,0.0004152667,0.0003466205,7.70268e-05,58.44,0.8914285714,0.6303030303,0.3068,32884,0.6630261055,8.5018650967,14.219641066,25.589449742,22.356765237,0.8617346939,0.3972366149,0.0864851843,0.396,5.8616600791,0.5630148992,7.9278190947,328.65907099,66.607792363,10.1,0,0.1525423729,0.8278492542,0.351,25965,0.2113614481,0.1801656075,0.475139611,0.0063161949,0.0045060659,0.0017331023,0.0421336414,0.4645099172,0.0151936998,0.4693240901,0.677896347,"01005","Barbour County , AL"
"4",529.1,14.775413712,116.31595643,0.1316296828,0.1285403606,0.146,191.9,11741.938889,0.1999691186,4.3633772783,4.3157100192,0.1125827815,0.161,0.0260162701,27.125572476,22.146105238,8,0.381488654,0.1991640424,0.384,7.6,0.375,0.4859262492,0.1592515079,0.275862069,302.1,47.260273973,0.1507056854,0.0314125234,10755.78,0.0007507839,0.1185588115,0.0005313732,0.0002208188,8.83275e-05,92.87,0.8198198198,0.6130653266,0.2513,43079,0.6131848284,8.2007544694,21.26886504,43.487327897,42.1680096,0.85,0.4982137057,0.0663711653,0.275,4.2281268195,0.314279643,10.627463136,147.29089953,95.709892681,10.5,0,0.1235875706,0.8507246377,0.488,22643,0.2075255046,0.1543081747,0.2161816014,0.0037980833,0.0019873692,0.0011924215,0.0249966877,0.7441593428,0.0044813743,0.4636311443,0.6835260746,"01007","Bibb County , AL"
"5",480.2,5.2943667937,55.375073833,0.1372005681,0.138279427,0.144,95.4,9359.1223433,0.2109532316,4.5127526482,4.7015992588,0.0779166667,0.113,0.0288014982,22.53629954,21.375421731,8,0.3594501042,0.1965215818,0.358,8.5,0.29,0.3227207704,0.1537872189,0.2,114.3,39.624777616,0.1769911504,0.0448953162,10326.33,0.0001213087,0.1396365941,0.0002080696,0.000190628,8.66491e-05,57.82,0.8765957447,0.5958429561,0.1535,47213,0.545201669,6.1912910823,19.044716996,39.938703301,24.226299014,0.9120625,0.5386645741,0.0552089704,0.194,4.0682368906,0.2729423944,8.8429594438,211.59883621,104.57280968,11.3,0,0.1105803678,0.8610772834,0.602,57704,0.2319076667,0.1798662138,0.0143490919,0.0062733953,0.0026514626,0.0011264384,0.0906869541,0.8746707334,0.0187850605,0.5061347567,0.8995150204,"01009","Blount County , AL"
"6",581.5,NA,133.92857143,0.1663247935,0.1484005471,0.195,691.3,12343.052871,0.2940771388,5.2266193898,4.7919184772,0.1472708548,0.244,0.1974335074,48.39295076,NA,5,0.4502063587,0.2347829118,0.402,4.5,0.298,0.2219168041,0.1289631731,0.6666666667,733.9,65.835411471,0.191509434,0.0321302817,10314.38,0.0007720517,0.1450443191,0.0002804787,0.0001930129,9.65065e-05,67.02,0.858490566,0.6,0.3963,34278,0.6717607973,NA,NA,19.765668547,19.113122955,0.875,0.3371607516,0.0717106631,0.457,6.0466439135,0.7192595857,9.349289454,302.28603816,109.56833853,9.8,0,0.1802403204,0.7644657863,0.377,10362,0.2129897703,0.1625168886,0.6927234125,0.0090716078,0.0026056746,0.0073344914,0.077880718,0.2153059255,0.0095756476,0.4595637908,0.5137438153,"01011","Bullock County , AL"
"7",602.7,NA,100.23211648,0.1619792823,0.1547420506,0.175,268.4,12779.304852,0.265026132,5.1174326174,5.1345730819,0.1161587119,0.22,0.0292612193,21.035360441,NA,5,0.419110839,0.2219765552,0.36,6.5,0.339,0.4604000573,0.1304281127,0.275,827.7,43.457723193,0.1603967168,0.0275041051,10176.13,0.000550055,0.1224264706,0.0003473256,0.00030003,0.000250025,93.13,0.8070500928,0.6236162362,0.2067,35409,0.7263157895,16.127109671,30.686992675,30.056623638,29.094626128,0.83,0.4222176676,0.0712877792,0.366,5.05293385,0.5090444775,10.915947207,523.43993568,97.010492972,9.4,0,0.1483949122,0.850864647,0.317,19998,0.2357235724,0.1902190219,0.4410441044,0.00380038,0.0107510751,0.00050005,0.0131013101,0.5221522152,0.0087038591,0.5338533853,0.7123215735,"01013","Butler County , AL"
"8",564.3,8.7597478902,77.28958156,0.1302095258,0.138065685,0.163,211.2,11527.781204,0.1958470142,4.2904480661,4.4765721664,0.087667162,0.174,0.0917856658,17.022881692,15.600308539,6,0.4131434398,0.2046223175,0.361,6.8,0.325,0.4821711703,0.1543167701,0.2285714286,587.5,39.711727776,0.1451450298,0.0289184061,10901.19,0.0005060596,0.1139686808,0.0006486767,0.0006020365,0.0009423179,72.8,0.8127009646,0.568954458,0.1907,41778,0.5886834115,9.1850081073,22.234517278,46.984796215,41.778342224,0.9216337386,0.5674352386,0.0669738394,0.257,4.8616092496,0.3838057319,14.01141671,574.32355552,74.115057594,11.6,0,0.15292172,0.8498591611,0.294,114611,0.2183036532,0.1688057865,0.2073448447,0.0052001989,0.009196325,0.0009859438,0.0357731806,0.7262391917,0.0070962196,0.5189117973,0.3369682556,"01015","Calhoun County , AL"
"9",528.8,7.299270073,58.560110231,0.1542820773,0.1456000236,0.16,366.9,10350.047581,0.2521983554,5.0370446678,4.9326462099,0.1182142857,0.203,0.1032855828,23.068341009,NA,6,0.3726657479,0.2204036962,0.38,6.1,0.326,0.6320911881,0.1352845089,0.2244897959,792.3,55.08415635,0.1696384834,0.0294941946,9256.66,0.000147741,0.1331442699,0.0004688919,0.0002363857,2.95482e-05,62.49,0.8220720721,0.572265625,0.2629,39530,0.7116724739,9.6467607855,25.841614396,29.156564156,29.691629754,0.85,0.4638982417,0.0554380864,0.325,4.7019500382,0.4769402257,18.169563051,526.85596989,85.747175042,10.4,1,0.1841726619,0.8803986711,0.325,33843,0.2119492953,0.190733682,0.3934934846,0.0029548208,0.0108441923,0.0006205124,0.022604379,0.5604408593,0.0035659545,0.5200484591,0.4914803449,"01017","Chambers County , AL"
"10",546,NA,NA,0.1300955694,0.1364344403,0.129,90.1,11683.171114,0.1929159345,4.2779170785,4.6812529447,0.0869829684,0.139,0.002211124,32.986788791,15.459733835,8,0.3535507081,0.1914485261,0.355,8.2,0.359,0.3603062834,0.1523273067,0.1818181818,169,45.303651631,0.1464501963,0.0313078918,11470.43,0.0004664723,0.1168212709,0.0003867126,0.0001554908,0.0001943635,76.63,0.8862815884,0.6336633663,NA,41456,0.6318654132,7.6969173846,21.564172667,25.589739072,19.715163695,0.88,0.5556562727,0.0521365224,0.275,4.6407199626,0.3223596575,10.05452647,383.60074936,112.44175748,10.8,0,0.157782516,0.8459606109,0.459,25725,0.1982507289,0.2201749271,0.0429154519,0.0062973761,0.0025655977,0.0003109815,0.0160544218,0.9169290573,0.0006090134,0.5036345967,0.8573627304,"01019","Cherokee County , AL"
