NUM_ALL,COUNTY_STATE
7012902,"WASHOE , NV"
112956646,"DEKALB , GA"
592973,"BEN HILL , GA"
1031777,"CARTERET , NC"
783691,"FAYETTE , GA"
1369472,"SHELBY , AL"
35866,"WILCOX , GA"
663909,"DUNKLIN , MO"
372518,"LIBERTY , TX"
174885,"OCEANA , MI"
39787,"CUSTER , NE"
179342,"NEWAYGO , MI"
187849,"UNION , OR"
87685,"EAST FELICIANA PARISH , LA"
119977,"LACLEDE , MO"
775118,"SULLIVAN , NY"
63197,"SUMTER , AL"
942358,"DESCHUTES , OR"
275840,"BARRON , WI"
335480,"EFFINGHAM , IL"
12263,"ST. THOMAS ISLAND , VI"
224250,"ST. MARY PARISH , LA"
8753,"OHIO , IN"
193896,"JASPER , IN"
14420,"KIT CARSON , CO"
260549,"BOONE , IL"
1499,"ADAMS , ID"
57771,"MCDONALD , MO"
11193,"WHITE PINE , NV"
9455,"HOWARD , MO"
31510,"JOHNSON , WY"
60624,"ACADIA , LA"
17424,"CROSBY , TX"
21235,"LUNENBURG , VA"
603,"GUAM , GU"
55841,"SULLIVAN , IN"
42695,"WASECA , MN"
54687,"PIKE , IN"
87054,"MERCER , KY"
66862,"MITCHELL , GA"
27368,"SAC , IA"
52183,"JEROME , ID"
8762,"BOUNDARY , ID"
29274,"LA SALLE , TX"
33212,"GRAHAM , NC"
5693,"DONLEY , TX"
4642,"THAYER , NE"
13931,"HARDEMAN , TX"
18260177,"SAINT LOUIS CITY , MO"
16020791,"JEFFERSON , KY"
6320048,"ARAPAHOE , CO"
2043824,"WASHINGTON , PA"
2616981,"EAU CLAIRE , WI"
1756622,"MONROE , PA"
3793608,"GALVESTON , TX"
1196023,"BERKELEY , SC"
159541,"YORK , NE"
507398,"PUTNAM , IN"
512134,"DARLINGTON , SC"
412551,"WASHINGTON , VT"
182933,"JACKSON PARISH , LA"
64858,"CHATTOOGA , GA"
309834,"DEARBORN , IN"
202500,"TOOELE , UT"
91432,"TRIGG , KY"
79610,"RUSSELL , KY"
41702,"CALDWELL , MO"
98841,"BUTTS , GA"
38931,"UNION PARISH , LA"
89077,"MCDOWELL , NC"
143756,"UPSON , GA"
15185,"CEDAR , NE"
1372,"JONES , SD"
9556,"OSCEOLA , IA"
3926,"HITCHCOCK , NE"
10096,"MORRILL , NE"
4212,"CLARK , ID"
736300,"COLUMBIA , GA"
8102,"PIERCE , NE"
804341,"GREENE , OH"
11916,"GRAND ISLE , VT"
14158,"TAYLOR , IA"
79982,"BENTON , IA"
155225,"WHITE , GA"
167970,"DOUGLAS , MN"
22741,"LINCOLN , CO"
195278,"CHEROKEE , TX"
23364,"CHICOT , AR"
10225,"RED RIVER , LA"
64,"MATANUSKA-SUSITNA , AK"
100807584,"HARRIS , TX"
187909,"FORD , KS"
376704,"EDDY , NM"
380557,"BOLIVAR , MS"
634643,"JACKSON , GA"
220888,"DOUGLAS , WA"
96133,"ALAMOSA , CO"
10531711,"FRESNO , CA"
3354016,"TULARE , CA"
1085298,"HURON , OH"
170192,"JEFFERSON , TN"
1127517,"LEE , AL"
331222,"CHISAGO , MN"
3417901,"EAST BATON ROUGE PARISH , LA"
1332870,"CLEVELAND , OK"
149517,"PONTOTOC , OK"
52053,"ALLEGHANY , NC"
24601,"BRACKEN , KY"
162106,"CODINGTON , SD"
61205,"STONE , MO"
37100,"CHICKASAW , MS"
27030,"GOGEBIC , MI"
398142,"KNOX , OH"
80253,"HUTCHINSON , TX"
13165,"FLOYD , TX"
3970,"DAY , SD"
2515,"GRANT , ND"
1616,"GARDEN , NE"
4388,"MINER , SD"
42060,"TORRANCE , NM"
52305,"STONE , MS"
146780,"LEWIS , WA"
321988,"HOWELL , MO"
16927,"KIMBLE , TX"
292039,"ALLEGANY , NY"
202056,"PENNINGTON , MN"
18325,"CLAIBORNE PARISH , LA"
15790,"CALDWELL PARISH , LA"
69831,"PAULDING , OH"
85043,"KIDDER , ND"
