NUM_CLICK,COUNTY_STATE
238649,"DEKALB , GA"
17127,"WASHOE , NV"
2233,"DUNKLIN , MO"
270,"UNION , OR"
3047,"SHELBY , AL"
1635,"DESCHUTES , OR"
2501,"SULLIVAN , NY"
652,"EFFINGHAM , IL"
2302,"CARTERET , NC"
576,"BOONE , IL"
178,"SULLIVAN , IN"
289,"LACLEDE , MO"
911,"BEN HILL , GA"
162,"MERCER , KY"
74,"WASECA , MN"
536,"JASPER , IN"
327,"OCEANA , MI"
56,"JOHNSON , WY"
228,"EAST FELICIANA PARISH , LA"
468,"NEWAYGO , MI"
782,"ST. MARY PARISH , LA"
33,"HOWARD , MO"
141,"JEROME , ID"
126,"MITCHELL , GA"
78,"WILCOX , GA"
20,"OHIO , IN"
116,"LA SALLE , TX"
47,"CROSBY , TX"
87,"MCDONALD , MO"
25,"LUNENBURG , VA"
131,"CUSTER , NE"
66,"ST. THOMAS ISLAND , VI"
135,"SUMTER , AL"
2224,"FAYETTE , GA"
539,"BARRON , WI"
41,"HARDEMAN , TX"
204,"PIKE , IN"
1175,"LIBERTY , TX"
30,"KIT CARSON , CO"
107,"ACADIA , LA"
67,"GRAHAM , NC"
18,"WHITE PINE , NV"
15,"THAYER , NE"
6,"ADAMS , ID"
16,"BOUNDARY , ID"
5,"GUAM , GU"
57,"SAC , IA"
24,"DONLEY , TX"
14046,"ARAPAHOE , CO"
4469,"MONROE , PA"
31436,"SAINT LOUIS CITY , MO"
1052,"PUTNAM , IN"
863,"WASHINGTON , VT"
2955,"BERKELEY , SC"
36787,"JEFFERSON , KY"
1645,"COLUMBIA , GA"
4193,"EAU CLAIRE , WI"
425,"CHEROKEE , TX"
10158,"GALVESTON , TX"
255,"UPSON , GA"
822,"DEARBORN , IN"
5814,"WASHINGTON , PA"
118,"BENTON , IA"
159,"CHATTOOGA , GA"
143,"UNION PARISH , LA"
66,"CALDWELL , MO"
209,"MCDOWELL , NC"
614,"TOOELE , UT"
272,"BUTTS , GA"
16,"GRAND ISLE , VT"
51,"PIERCE , NE"
58,"CEDAR , NE"
50,"TAYLOR , IA"
161,"RUSSELL , KY"
85,"CHICOT , AR"
1156,"DARLINGTON , SC"
1960,"GREENE , OH"
332,"DOUGLAS , MN"
244,"JACKSON PARISH , LA"
292,"YORK , NE"
126,"TRIGG , KY"
249,"WHITE , GA"
19,"MORRILL , NE"
34,"LINCOLN , CO"
24,"OSCEOLA , IA"
6,"JONES , SD"
21,"RED RIVER , LA"
6,"HITCHCOCK , NE"
244263,"HARRIS , TX"
20686,"FRESNO , CA"
8706,"TULARE , CA"
12228,"EAST BATON ROUGE PARISH , LA"
1522,"BOLIVAR , MS"
2705,"LEE , AL"
471,"FORD , KS"
446,"CHISAGO , MN"
615,"JEFFERSON , TN"
114,"PAULDING , OH"
3899,"CLEVELAND , OK"
393,"HENRY , OH"
952,"JACKSON , GA"
785,"KNOX , OH"
656,"PENNINGTON , MN"
1145,"EDDY , NM"
317,"CODINGTON , SD"
243,"HUTCHINSON , TX"
168,"ALAMOSA , CO"
440,"LEWIS , WA"
563,"HOWELL , MO"
165,"STONE , MS"
614,"ALLEGANY , NY"
142,"TORRANCE , NM"
53,"GOGEBIC , MI"
118,"SAINT MARY , LA"
60,"BOTTINEAU , ND"
38,"PLATTE , WY"
57,"FLOYD , TX"
64,"CLAIBORNE PARISH , LA"
148,"BURLESON , TX"
9,"MINER , SD"
43,"KIMBLE , TX"
1951,"HURON , OH"
434,"PONTOTOC , OK"
144,"ALLEGHANY , NC"
42,"DADE , MO"
330,"DOUGLAS , WA"
160,"CHICKASAW , MS"
139,"STONE , MO"
56,"BRACKEN , KY"
89,"BRANTLEY , GA"
8,"GRANT , ND"
92,"KIDDER , ND"
31,"RIO BLANCO , CO"
40,"AUDUBON , IA"
51,"CALDWELL PARISH , LA"
20,"GREGORY , SD"
10,"DAY , SD"
1,"GARDEN , NE"
1,"BORDEN , TX"
92659,"NASSAU , NY"
56444,"CUYAHOGA , OH"
60951,"TARRANT , TX"
9613,"PLYMOUTH , MA"
840,"AUTAUGA , AL"
480,"LAWRENCE , TN"
5095,"MIDLAND , TX"
567,"ELK , PA"
116,"PARKE , IN"
962,"MAVERICK , TX"
2924,"KOOTENAI , ID"
4349,"CAMBRIA , PA"
9767,"HORRY , SC"
7967,"SANTA BARBARA , CA"
489,"JACKSON , OK"
427,"HOPKINS , TX"
438,"PITTSBURG , OK"
251,"MONROE , OH"
193,"HUMPHREYS , MS"
1933,"ATHENS , OH"
325,"BLADEN , NC"
187,"HENRY , MO"
213,"GREENE , IL"
430,"LAWRENCE , IN"
24,"BACA , CO"
728,"HUNTINGTON , IN"
639,"WALKER , AL"
382,"WASHINGTON , IN"
188,"GARRARD , KY"
53,"POINTE COUPEE , LA"
32,"SHELBY , MO"
37,"SITKA , AK"
13,"BROWN , IL"
35,"BENTON , IN"
694,"CAMPBELL , TN"
296,"BAKER , FL"
474,"WEBSTER PARISH , LA"
293,"LOGAN , KY"
452,"CONVERSE , WY"
108,"HANCOCK , IL"
254,"SHAWANO , WI"
56,"MORGAN , OH"
261,"GRAHAM , KS"
38,"HUDSPETH , TX"
135,"FREEBORN , MN"
82,"PHILLIPS , CO"
104,"SEQUATCHIE , TN"
23,"ANDERSON , KS"
8,"HANSON , SD"
20,"VALDEZ-CORDOVA CENSUS AREA , AK"
16,"HOT SPRINGS , WY"
8,"NANCE , NE"
4,"WAYNE , UT"
4,"JACKSON , CO"
955,"OTTAWA , OH"
536,"WILSON , TX"
3721,"OKALOOSA , FL"
4027,"ST. CLAIR , IL"
1391,"CHAVES , NM"
129,"SMITH , TN"
5032,"ANCHORAGE , AK"
1294,"HANOVER , VA"
487,"GUERNSEY , OH"
1950,"MCCRACKEN , KY"
383,"POLK , MN"
403,"MASON , KY"
164,"PERRY , IN"
1028,"PICKAWAY , OH"
613,"KOSCIUSKO , IN"
1509,"ALLEGANY , MD"
403,"JASPER , TX"
149,"WASHINGTON , ME"
178,"DUKES , MA"
999,"DARE , NC"
232,"PERRY , IL"
269,"PUTNAM , GA"
92,"RUSSELL , KS"
189,"EVANGELINE , LA"
677,"DELAWARE , NY"
90,"DOOR , WI"
74,"TRIMBLE , KY"
18,"CLAY , GA"
42,"CHICKASAW , IA"
145,"NODAWAY , MO"
51,"LEWIS , MO"
89,"ANTRIM , MI"
6,"ELK , KS"
11,"KINGSBURY , SD"
1496,"WAYNE , OH"
87822,"BEXAR , TX"
22138,"ESSEX , MA"
450,"PLATTE , NE"
17896,"JOHNSON , KS"
10764,"MADISON , TN"
1355,"TROUP , GA"
5026,"GLOUCESTER , NJ"
1219,"NAPA , CA"
24225,"WAKE , NC"
4273,"TRUMBULL , OH"
4760,"SCHENECTADY , NY"
4923,"FREDERICK , MD"
77,"WASHINGTON , NC"
1364,"LAMAR , TX"
417,"MANASSAS CITY , VA"
813,"MONROE , TN"
1646,"WEBSTER , IA"
2703,"ETOWAH , AL"
1976,"LYCOMING , PA"
1988,"SANTA ROSA , FL"
583,"SHELBY , OH"
862,"OXFORD , ME"
358,"WASHINGTON , NE"
361,"SNYDER , PA"
1079,"EFFINGHAM , GA"
237,"SAGADAHOC , ME"
243,"WILCOX , AL"
89,"JEFFERSON , NE"
190,"HARDY , WV"
251,"HAMILTON , IA"
18,"UNION , NM"
37,"UNION , IN"
173,"KENAI PENINSULA BOROUGH , AK"
878,"WATAUGA , NC"
1282,"FLOYD , KY"
2530,"DELAWARE , IN"
194,"CHOWAN , NC"
208,"SCHOHARIE , NY"
152,"WABASHA , MN"
393,"JACKSON , FL"
105,"HENRY , KY"
11,"ADAMS , IA"
155,"MENOMINEE , MI"
8,"BOISE , ID"
51,"EAST CARROLL PARISH , LA"
84,"JEFFERSON , ID"
15,"CATRON , NM"
24,"MCHENRY , ND"
62,"KNOX , NE"
18,"JEFFERSON , OK"
24,"MARIES , MO"
42,"METCALFE , KY"
6,"BUTTE , ID"
137,"BOURBON , KS"
13944,"BRISTOL , MA"
6219,"MUSCOGEE , GA"
3496,"JOHNSON , IA"
1438,"JONES , MS"
