NUM_ALL,COUNTY_STATE
21362963,"DEKALB , GA"
1996067,"WASHOE , NV"
23037,"JEROME , ID"
309806,"SHELBY , AL"
144401,"BEN HILL , GA"
87993,"NEWAYGO , MI"
14848,"LA SALLE , TX"
62941,"ST. MARY PARISH , LA"
215556,"FAYETTE , GA"
18557,"SULLIVAN , IN"
128949,"BARRON , WI"
335820,"DUNKLIN , MO"
49152,"LACLEDE , MO"
2749,"DONLEY , TX"
33242,"EAST FELICIANA PARISH , LA"
417273,"CARTERET , NC"
62560,"UNION , OR"
89964,"JASPER , IN"
4066,"KIT CARSON , CO"
120268,"EFFINGHAM , IL"
25589,"CUSTER , NE"
6139,"GRAHAM , NC"
57078,"BOONE , IL"
55305,"OCEANA , MI"
12213,"MCDONALD , MO"
16974,"MERCER , KY"
3421,"HOWARD , MO"
10083,"SAC , IA"
3405,"OHIO , IN"
3554,"CROSBY , TX"
12377,"WASECA , MN"
14895,"MITCHELL , GA"
5264,"LUNENBURG , VA"
7625,"JOHNSON , WY"
2298,"ST. THOMAS ISLAND , VI"
263780,"SULLIVAN , NY"
151213,"DESCHUTES , OR"
139462,"LIBERTY , TX"
11875,"WILCOX , GA"
2340,"WHITE PINE , NV"
3078,"BOUNDARY , ID"
1155,"THAYER , NE"
12851,"ACADIA , LA"
6294,"HARDEMAN , TX"
524,"ADAMS , ID"
32784,"PIKE , IN"
15612,"SUMTER , AL"
261,"GUAM , GU"
3511856,"SAINT LOUIS CITY , MO"
1326106,"GALVESTON , TX"
4195408,"JEFFERSON , KY"
276099,"GREENE , OH"
1486673,"ARAPAHOE , CO"
892193,"WASHINGTON , PA"
4920,"CEDAR , NE"
616623,"MONROE , PA"
52007,"DOUGLAS , MN"
181787,"COLUMBIA , GA"
12925,"UNION PARISH , LA"
119504,"PUTNAM , IN"
776129,"EAU CLAIRE , WI"
211350,"WASHINGTON , VT"
357417,"BERKELEY , SC"
12531,"RUSSELL , KY"
117896,"DEARBORN , IN"
54742,"UPSON , GA"
25799,"WHITE , GA"
26407,"BUTTS , GA"
23111,"MCDOWELL , NC"
7699,"CHICOT , AR"
91343,"TOOELE , UT"
20883,"BENTON , IA"
21733,"CHATTOOGA , GA"
2276,"GRAND ISLE , VT"
3913,"PIERCE , NE"
405,"CLARK , ID"
7548,"LINCOLN , CO"
477,"JONES , SD"
28062,"JACKSON PARISH , LA"
208398,"DARLINGTON , SC"
50213,"CHEROKEE , TX"
10996,"TAYLOR , IA"
21186,"TRIGG , KY"
65365,"YORK , NE"
20062,"CALDWELL , MO"
6728,"MORRILL , NE"
4405,"OSCEOLA , IA"
1749,"HITCHCOCK , NE"
2016,"RED RIVER , LA"
26992877,"HARRIS , TX"
1198878,"EAST BATON ROUGE PARISH , LA"
2741686,"FRESNO , CA"
1325427,"TULARE , CA"
501578,"CLEVELAND , OK"
413357,"LEE , AL"
189848,"EDDY , NM"
125363,"BOLIVAR , MS"
49561,"CODINGTON , SD"
44193,"PONTOTOC , OK"
153646,"JACKSON , GA"
69753,"JEFFERSON , TN"
12737,"BURLESON , TX"
315312,"HURON , OH"
69199,"LEWIS , WA"
133520,"ALLEGANY , NY"
111174,"KNOX , OH"
8258,"BRANTLEY , GA"
20369,"STONE , MS"
6257,"BRACKEN , KY"
26785,"ALAMOSA , CO"
119096,"HOWELL , MO"
147807,"PENNINGTON , MN"
10073,"KIMBLE , TX"
23238,"BOTTINEAU , ND"
2253,"GREGORY , SD"
2528,"MINER , SD"
97071,"HENRY , OH"
12419,"GOGEBIC , MI"
11746,"AUDUBON , IA"
20244,"PAULDING , OH"
12896,"SAINT MARY , LA"
6549,"PLATTE , WY"
7939,"CLAIBORNE PARISH , LA"
12723,"TORRANCE , NM"
4030,"RIO BLANCO , CO"
19636,"CHICKASAW , MS"
9141,"CALDWELL PARISH , LA"
54301,"FORD , KS"
6319,"DADE , MO"
27698,"HUTCHINSON , TX"
49289,"DOUGLAS , WA"
8871,"FLOYD , TX"
23910,"ALLEGHANY , NC"
19784,"STONE , MO"
27130,"KIDDER , ND"
179,"GARDEN , NE"
1481,"GRANT , ND"
1763,"DAY , SD"
584,"BORDEN , TX"
83678,"CHISAGO , MN"
6895530,"TARRANT , TX"
10161449,"NASSAU , NY"
348343,"ATHENS , OH"
1098086,"SANTA BARBARA , CA"
5926291,"CUYAHOGA , OH"
121262,"CAMPBELL , TN"
1555282,"HORRY , SC"
3384,"SHELBY , MO"
141575,"MAVERICK , TX"
1474724,"PLYMOUTH , MA"
50382,"LAWRENCE , IN"
660671,"CAMBRIA , PA"
114962,"ELK , PA"
82107,"AUTAUGA , AL"
501285,"KOOTENAI , ID"
97613,"JACKSON , OK"
45948,"CONVERSE , WY"
63728,"LAWRENCE , TN"
120972,"HUNTINGTON , IN"
61542,"WASHINGTON , IN"
10175,"MORGAN , OH"
46302,"HOPKINS , TX"
36679,"GREENE , IL"
36018,"MONROE , OH"
48250,"WALKER , AL"
23980,"FREEBORN , MN"
23281,"HUMPHREYS , MS"
16333,"HENRY , MO"
45882,"LOGAN , KY"
4556,"BROWN , IL"
21189,"PARKE , IN"
4687,"BENTON , IN"
258,"JACKSON , CO"
4293,"SITKA , AK"
1494,"NANCE , NE"
2106,"HOT SPRINGS , WY"
11289,"POINTE COUPEE , LA"
783692,"MIDLAND , TX"
52414,"WEBSTER PARISH , LA"
39162,"BLADEN , NC"
37464,"SHAWANO , WI"
59793,"PITTSBURG , OK"
26543,"GARRARD , KY"
7380,"HUDSPETH , TX"
22505,"HANCOCK , IL"
13888,"SEQUATCHIE , TN"
33279,"BAKER , FL"
90358,"GRAHAM , KS"
5319,"ANDERSON , KS"
5504,"BACA , CO"
602,"WAYNE , UT"
19843,"PHILLIPS , CO"
538,"HANSON , SD"
863,"VALDEZ-CORDOVA CENSUS AREA , AK"
149076,"HANOVER , VA"
442001,"ST. CLAIR , IL"
222963,"CHAVES , NM"
202342,"MCCRACKEN , KY"
41002,"PUTNAM , GA"
