NUM_CLICK,COUNTY_STATE
99213,"DEKALB , GA"
1305,"SULLIVAN , NY"
1274,"DUNKLIN , MO"
8610,"WASHOE , NV"
369,"EFFINGHAM , IL"
587,"DESCHUTES , OR"
1390,"CARTERET , NC"
338,"JASPER , IN"
157,"EAST FELICIANA PARISH , LA"
78,"JEROME , ID"
180,"LACLEDE , MO"
1251,"SHELBY , AL"
61,"MITCHELL , GA"
354,"NEWAYGO , MI"
355,"ST. MARY PARISH , LA"
522,"BEN HILL , GA"
91,"CUSTER , NE"
29,"JOHNSON , WY"
11,"DONLEY , TX"
77,"MERCER , KY"
174,"UNION , OR"
8,"BOUNDARY , ID"
211,"OCEANA , MI"
841,"FAYETTE , GA"
60,"SUMTER , AL"
411,"BARRON , WI"
47,"WILCOX , GA"
603,"LIBERTY , TX"
163,"PIKE , IN"
256,"BOONE , IL"
50,"MCDONALD , MO"
13,"OHIO , IN"
22,"HARDEMAN , TX"
63,"LA SALLE , TX"
9,"WHITE PINE , NV"
33,"ACADIA , LA"
34,"WASECA , MN"
42,"GRAHAM , NC"
11,"KIT CARSON , CO"
9,"THAYER , NE"
19,"CROSBY , TX"
2,"GUAM , GU"
56,"SULLIVAN , IN"
39,"SAC , IA"
9,"LUNENBURG , VA"
11,"ST. THOMAS ISLAND , VI"
14,"HOWARD , MO"
1,"ADAMS , ID"
2284,"MONROE , PA"
14700,"SAINT LOUIS CITY , MO"
5359,"GALVESTON , TX"
15955,"JEFFERSON , KY"
6944,"ARAPAHOE , CO"
1611,"BERKELEY , SC"
2316,"EAU CLAIRE , WI"
3172,"WASHINGTON , PA"
619,"PUTNAM , IN"
178,"UPSON , GA"
803,"COLUMBIA , GA"
679,"WASHINGTON , VT"
1005,"GREENE , OH"
98,"WHITE , GA"
415,"DEARBORN , IN"
65,"RUSSELL , KY"
434,"TOOELE , UT"
74,"BENTON , IA"
103,"MCDOWELL , NC"
31,"PIERCE , NE"
172,"DOUGLAS , MN"
73,"UNION PARISH , LA"
649,"DARLINGTON , SC"
179,"YORK , NE"
151,"JACKSON PARISH , LA"
234,"CHEROKEE , TX"
128,"BUTTS , GA"
102,"CHATTOOGA , GA"
49,"CALDWELL , MO"
60,"TRIGG , KY"
3,"HITCHCOCK , NE"
41,"TAYLOR , IA"
16,"OSCEOLA , IA"
23,"CEDAR , NE"
39,"CHICOT , AR"
10,"GRAND ISLE , VT"
10,"RED RIVER , LA"
24,"LINCOLN , CO"
12,"MORRILL , NE"
2,"JONES , SD"
116375,"HARRIS , TX"
541,"JACKSON , GA"
12175,"FRESNO , CA"
6101,"EAST BATON ROUGE PARISH , LA"
1468,"LEE , AL"
1955,"CLEVELAND , OK"
5888,"TULARE , CA"
574,"PENNINGTON , MN"
196,"PONTOTOC , OK"
1170,"HURON , OH"
84,"TORRANCE , NM"
306,"LEWIS , WA"
814,"EDDY , NM"
457,"ALLEGANY , NY"
268,"HENRY , OH"
39,"GOGEBIC , MI"
79,"STONE , MS"
360,"HOWELL , MO"
547,"BOLIVAR , MS"
74,"STONE , MO"
142,"HUTCHINSON , TX"
359,"JEFFERSON , TN"
432,"KNOX , OH"
52,"SAINT MARY , LA"
12,"GREGORY , SD"
20,"PLATTE , WY"
30,"AUDUBON , IA"
55,"BURLESON , TX"
86,"ALLEGHANY , NC"
95,"CHICKASAW , MS"
340,"CHISAGO , MN"
307,"FORD , KS"
177,"DOUGLAS , WA"
163,"CODINGTON , SD"
64,"KIDDER , ND"
37,"CLAIBORNE PARISH , LA"
40,"BRANTLEY , GA"
67,"PAULDING , OH"
107,"ALAMOSA , CO"
39,"FLOYD , TX"
34,"KIMBLE , TX"
36,"CALDWELL PARISH , LA"
52,"BOTTINEAU , ND"
19,"RIO BLANCO , CO"
26,"DADE , MO"
27,"BRACKEN , KY"
5,"DAY , SD"
6,"GRANT , ND"
5,"MINER , SD"
1,"BORDEN , TX"
45093,"NASSAU , NY"
221,"PITTSBURG , OK"
28633,"TARRANT , TX"
22179,"CUYAHOGA , OH"
2291,"CAMBRIA , PA"
312,"WALKER , AL"
73,"HUMPHREYS , MS"
413,"AUTAUGA , AL"
4625,"SANTA BARBARA , CA"
1693,"KOOTENAI , ID"
5253,"PLYMOUTH , MA"
2974,"MIDLAND , TX"
189,"MONROE , OH"
260,"LAWRENCE , TN"
5662,"HORRY , SC"
711,"MAVERICK , TX"
401,"CONVERSE , WY"
1074,"ATHENS , OH"
67,"FREEBORN , MN"
242,"WEBSTER PARISH , LA"
272,"WASHINGTON , IN"
356,"JACKSON , OK"
62,"HENRY , MO"
480,"HUNTINGTON , IN"
21,"BENTON , IN"
80,"PARKE , IN"
186,"LAWRENCE , IN"
19,"BACA , CO"
189,"HOPKINS , TX"
2,"JACKSON , CO"
10,"HOT SPRINGS , WY"
56,"SEQUATCHIE , TN"
194,"SHAWANO , WI"
379,"ELK , PA"
464,"CAMPBELL , TN"
166,"LOGAN , KY"
25,"HUDSPETH , TX"
130,"BAKER , FL"
171,"BLADEN , NC"
27,"MORGAN , OH"
116,"GARRARD , KY"
65,"HANCOCK , IL"
75,"PHILLIPS , CO"
8,"VALDEZ-CORDOVA CENSUS AREA , AK"
140,"GREENE , IL"
3,"WAYNE , UT"
197,"GRAHAM , KS"
6,"HANSON , SD"
32,"POINTE COUPEE , LA"
13,"SHELBY , MO"
14,"SITKA , AK"
5,"NANCE , NE"
16,"ANDERSON , KS"
10,"BROWN , IL"
660,"PICKAWAY , OH"
1631,"OKALOOSA , FL"
391,"DELAWARE , NY"
304,"DARE , NC"
876,"CHAVES , NM"
1665,"ST. CLAIR , IL"
760,"ALLEGANY , MD"
780,"MCCRACKEN , KY"
290,"MASON , KY"
658,"HANOVER , VA"
181,"PUTNAM , GA"
312,"GUERNSEY , OH"
301,"KOSCIUSKO , IN"
130,"PERRY , IL"
126,"EVANGELINE , LA"
563,"OTTAWA , OH"
63,"RUSSELL , KS"
109,"PERRY , IN"
317,"JASPER , TX"
279,"POLK , MN"
107,"WASHINGTON , ME"
236,"WILSON , TX"
51,"ANTRIM , MI"
1916,"ANCHORAGE , AK"
41,"TRIMBLE , KY"
96,"DUKES , MA"
44,"DOOR , WI"
61,"SMITH , TN"
22,"CHICKASAW , IA"
23,"LEWIS , MO"
61,"NODAWAY , MO"
5,"KINGSBURY , SD"
4,"ELK , KS"
6,"CLAY , GA"
510,"OXFORD , ME"
2335,"FREDERICK , MD"
11466,"ESSEX , MA"
