,variable,mean and confidence interval (all campaigns),correlation (all campaigns),sample size (all campaigns),mean and confidence interval (diabetes),correlation (diabetes),sample size (diabetes)
1,uninsured_adults,"0.14 (0.08 ,0.2)",0.23,3111,"0.14 (0.08 ,0.2)",0.18,3092
2,uninsured,"0.12 (0.07 ,0.17)",0.22,3111,"0.12 (0.07 ,0.17)",0.17,3092
3,poor_or_fair_health,"0.17 (0.13 ,0.22)",0.19,3111,"0.17 (0.13 ,0.22)",0.14,3092
4,children_in_poverty,"0.22 (0.13 ,0.32)",0.17,3111,"0.22 (0.13 ,0.32)",0.1,3092
5,homicides,"6.09 (1.55 ,10.64)",0.17,1241,"6.09 (1.55 ,10.64)",0.05,1241
6,premature_age_adjusted_mortality,"401.19 (291.99 ,510.39)",0.17,3059,"401.19 (291.99 ,510.39)",0.08,3049
7,premature_death,"8148.35 (5648.79 ,10647.91)",0.16,3060,"8148.35 (5648.79 ,10647.91)",0.09,3049
8,adult_smoking,"0.18 (0.14 ,0.21)",0.16,3111,"0.18 (0.14 ,0.21)",0.06,3092
9,teen_births,"34.4 (18.4 ,50.41)",0.16,2999,"34.4 (18.4 ,50.41)",0.12,2994
10,children_in_single_parent_households,"0.33 (0.22 ,0.43)",0.15,3111,"0.33 (0.22 ,0.43)",0.08,3092
11,unemployment,"0.05 (0.03 ,0.07)",0.15,3111,"0.05 (0.03 ,0.07)",0.1,3092
12,frequent_physical_distress,"0.12 (0.1 ,0.14)",0.15,3111,"0.12 (0.1 ,0.14)",0.1,3092
13,physical_inactivity,"0.27 (0.22 ,0.32)",0.14,3111,"0.27 (0.22 ,0.32)",0.06,3092
14,child_mortality,"61.68 (37.71 ,85.65)",0.14,1924,"61.68 (37.71 ,85.65)",0.03,1923
15,children_eligible_for_free_lunch,"0.55 (0.37 ,0.72)",0.14,3093,"0.55 (0.37 ,0.72)",0.1,3074
16,disconnected_youth,"0.19 (0.1 ,0.27)",0.14,2055,"0.19 (0.1 ,0.27)",0.09,2052
17,percent_non_hispanic_black,"0.09 (-0.05 ,0.23)",0.14,3111,"0.09 (-0.05 ,0.23)",0.1,3092
18,frequent_mental_distress,"0.12 (0.1 ,0.14)",0.14,3111,"0.12 (0.1 ,0.14)",0.08,3092
19,diabetes_prevalence,"0.11 (0.09 ,0.14)",0.14,3111,"0.11 (0.09 ,0.14)",0.05,3092
20,health_care_costs,"9640.14 (8152.23 ,11128.06)",0.14,3105,"9640.14 (8152.23 ,11128.06)",0.06,3087
21,food_insecurity,"0.14 (0.1 ,0.18)",0.14,3111,"0.14 (0.1 ,0.18)",0.07,3092
22,poor_physical_health_days,"3.92 (3.21 ,4.63)",0.14,3111,"3.92 (3.21 ,4.63)",0.09,3092
23,insufficient_sleep,"0.33 (0.29 ,0.37)",0.14,3111,"0.33 (0.29 ,0.37)",0.09,3092
24,low_birthweight,"0.08 (0.06 ,0.1)",0.14,3024,"0.08 (0.06 ,0.1)",0.1,3014
25,HIV_prevalence,"188.54 (-19.0 ,396.08)",0.13,2415,"188.54 (-19.0 ,396.08)",0.07,2415
26,limited_access_to_healthy_foods,"0.09 (0.0 ,0.17)",0.13,3092,"0.09 (0.0 ,0.17)",0.06,3073
27,STD,"363.08 (127.06 ,599.1)",0.13,2959,"363.08 (127.06 ,599.1)",0.12,2950
28,uninsured_children,"0.07 (0.03 ,0.1)",0.13,3111,"0.07 (0.03 ,0.1)",0.09,3092
29,motor_vehicle_crash_deaths,"18.77 (9.42 ,28.12)",0.13,2684,"18.77 (9.42 ,28.12)",0.06,2684
